docid,entityid,type
88,Benchmark Datasets,Topic
88,State-Of-The-Art Results,Topic
88,Gpt-3.5,Topic
88,Tog-2,Topic
88,Llama-3.1-8B,Topic
88,Gpt-4-Turbo,Topic
88,Xingyu Tan,Author
88,Xiaoyang Wang,Author
88,Qing Liu,Author
88,Xiwei Xu,Author
88,Xin Yuan,Author
88,Liming Zhu,Author
88,Wenjie Zhang,Author
89,Knowledge Graphs,Topic
89,Retrieval-Augmented Generation,Topic
89,Synthkg,Paper
90,Large Language Models (Llms),Topic
90,Clinical Decision Support,Topic
90,Kare,Topic
90,Mimic-Iii,Topic
90,Mimic-Iv,Topic
90,Pengcheng Jiang,Author
90,Cao Xiao,Author
90,Minhao Jiang,Author
90,Parminder Bhatia,Author
90,Taha Kasshout,Author
90,Jimeng Sun,Author
90,Jiawei Han,Author
91,Large Language Models,Topic
91,Pennylane,Topic
91,Pennylang,Topic
91,Abdul Basit,Author
91,Nouhaila Innan,Author
91,Haider Asif,Author
91,Minghao Shao,Author
91,Muhammad Kashif,Author
91,Alberto Marchisio,Author
91,Muhammad Shafique,Author
91,Gpt-4O Mini,Topic
91,Retrieval-Augmented Generation,Topic
91,Graphrag,Topic
91,Quantum Software Development,Topic
91,Quantum Programming Tasks,Topic
91,Dataset,Topic
92,Graph Retrieval Augmented Generation,Topic
92,Legal Norms,Topic
92,Artificial Intelligence Applied To Law,Topic
92,Hudson De Martim,Author
93,Mmrag,Topic
93,Retrieval-Augmented Generation,Topic
93,Chuan Xu,Author
93,Qiaosheng Chen,Author
93,Yutong Feng,Author
93,Gong Cheng,Author
94,Retrieval-Augmented Generation (Rag),Topic
94,Tobugraph,Topic
94,Tobu,Topic
94,Savini Kashmira,Author
94,Jayanaka L Dantanarayana,Author
94,Joshua Brodsky,Author
94,Ashish Mahendra,Author
94,Yiping Kang,Author
94,Krisztian Flautner,Author
94,Lingjia Tang,Author
94,Jason Mars,Author
95,Pathrag,Topic
95,Retrieval-Augmented Generation,Topic
95,Boyu Chen,Author
95,Zirui Guo,Author
95,Zidan Yang,Author
95,Yuluo Chen,Author
95,Junze Chen,Author
95,Zhenghao Liu,Author
95,Chuan Shi,Author
95,Cheng Yang,Author
95,Https://Github.Com/Bupt-Gamma/Pathrag,Paper
96,Biomedical Question Answering Via Multi-Level Summarization On A Local Knowledge Graph,Paper
96,Retrieval Augmented Generation,Topic
96,Multi-Document Relationships,Topic
96,Local Knowledge Graph,Topic
96,Layerwise Summarization,Topic
96,Rag Baselines,Topic
96,Methodology Evaluation,Topic
97,Agentic Reasoning,Topic
97,Large Language Model (Llm),Topic
97,Mind Map Agent,Topic
97,Junde Wu,Author
97,Jiayuan Zhu,Author
97,Yuyuan Liu,Author
97,Https://Github.Com/Theworldofagents/Agentic-Reasoning,Paper
98,Automated Optimization Modeling,Topic
98,Large Language Models,Topic
98,Prompt Engineering,Topic
98,Sensor Array Signal Processing,Topic
98,Retrieval-Augmented Generation,Topic
98,Multi-Agent Structure,Topic
98,Graph-Based Rag Process,Topic
98,Mag-Rag,Paper
99,A Hybrid Rag System With Comprehensive Enhancement On Complex Reasoning,Paper
99,Retrieval-Augmented Generation,Topic
99,Crag Dataset,Topic
99,Meta Crag Kdd Cup 2024 Competition,Topic
100,Massive Open Online Courses (Moocs),Topic
100,Large Language Models (Llms),Topic
100,Retrieval-Augmented Generation (Rag),Topic
100,Educational Knowledge Graphs (Edukgs),Topic
100,Personal Knowledge Graphs (Pkgs),Topic
100,Coursemapper,Topic
100,Graph Rag Pipeline,Topic
100,Question Generation Method,Topic
100,Question Answering Method,Topic
100,3 Expert Instructors,Author
100,Mohamed Abdelmagied,Author
100,Mohamed Amine Chatti,Author
100,Shoeb Joarder,Author
100,Qurat Ul Ain,Author
100,Rawaa Alatrash,Author
101,Simgrag,Topic
101,Yuzheng Cai,Author
101,Zhenyue Guo,Author
101,Yiwen Pei,Author
101,Wanrui Bian,Author
101,Weiguo Zheng,Author
101,Kg-Driven Rag,Topic
101,Retrieval-Augmented Generation,Topic
101,Knowledge Graphs,Topic
101,Graph Semantic Distance,Topic
101,Query-To-Pattern,Topic
101,Pattern-To-Subgraph,Topic
101,Top-K Subgraphs,Topic
101,10-Million-Scale Kg,Topic
101,Question Answering,Topic
101,Fact Verification,Topic
102,In-Depth Analysis Of Graph-Based Rag In A Unified Framework,Paper
102,Yingli Zhou,Author
102,Yaodong Su,Author
102,Youran Sun,Author
102,Shu Wang,Author
102,Taotao Wang,Author
102,Runyuan He,Author
102,Yongwei Zhang,Author
102,Sicong Liang,Author
102,Xilin Liu,Author
102,Yuchi Ma,Author
102,Yixiang Fang,Author
103,Retrieval Augmented Generation,Topic
103,Large Language Model,Topic
103,G-Rag,Topic
103,Graph Neural Networks,Topic
103,Abstract Meaning Representation Graphs,Topic
103,Palm 2,Topic
103,Jialin Dong,Author
103,Bahare Fatemi,Author
103,Bryan Perozzi,Author
103,Lin F Yang,Author
103,Anton Tsitsulin,Author
104,Biomedical Ontologies,Topic
104,Biomedical Code Mapping,Topic
104,Ontologyrag,Paper
105,Material Science,Topic
105,Graph Rag,Topic
105,G-Rag,Topic
105,Radeen Mostafa,Author
105,Mirza Nihal Baig,Author
105,Mashaekh Tausif Ehsan,Author
105,Jakir Hasan,Author
106,Retrieval-Augmented Generation (Rag),Topic
106,Pseudo-Graph Retrieval-Augmented Generation (Pg-Rag),Topic
106,Kgp-Llama,Topic
106,Xun Liang,Author
106,Simin Niu,Author
106,Zhiyu Li,Author
106,Sensen Zhang,Author
106,Shichao Song,Author
106,Hanyu Wang,Author
106,Jiawei Yang,Author
106,Feiyu Xiong,Author
106,Bo Tang,Author
106,Chenyang Xi,Author
107,Slide,Topic
107,Divyansh Singh,Author
107,Manuel Nunez Martinez,Author
107,Bonnie J Dorr,Author
107,Sonja Schmer Galunder,Author
107,Graphrag,Topic
107,English,Topic
107,Afrikaans,Topic
107,Knowledge Graph,Topic
107,Long Documents,Topic
107,Low-Resource Languages,Topic
107,Contextual Retrieval Methods,Topic
108,Dgrag,Topic
108,Retrieval-Augmented Generation,Topic
108,Wenqing Zhou,Author
108,Yuxuan Yan,Author
108,Qianqian Yang,Author
109,Graphinsight,Topic
109,Large Language Models,Topic
109,Yukun Cao,Author
109,Shuo Han,Author
109,Zengyi Gao,Author
109,Zezhong Ding,Author
109,Xike Xie,Author
109,S Kevin Zhou,Author
110,Incorporating Legal Structure In Retrieval-Augmented Generation: A Case Study On Copyright Fair Use,Paper
110,Retrieval-Augmented Generation,Topic
110,Fair Use Doctrine,Topic
110,U.S. Copyright Law,Topic
110,Dmca Takedowns,Topic
110,Legal Knowledge Graphs,Topic
110,Court Citation Networks,Topic
110,Chain-Of-Thought Reasoning,Topic
110,Llm-Based Legal Assistance Tools,Topic
111,Knowledge Graph Based Retrieval-Augmented Generation (Kg-Rag),Topic
111,Large Language Model (Llm),Topic
111,Question Answering (Qa),Topic
111,Knowledge Graphs (Kgs),Topic
111,Dongzhuoran Zhou,Author
111,Yuqicheng Zhu,Author
111,Yuan He,Author
111,Jiaoyan Chen,Author
111,Evgeny Kharlamov,Author
111,Steffen Staab,Author
111,Evaluating Knowledge Graph Based Retrieval Augmented Generation Methods Under Knowledge Incompleteness,Paper
112,Knowledge Augmented Generation,Topic
112,Retrieval-Augmented Generation,Topic
112,Ant Group,Topic
112,E-Government Q&A,Topic
112,E-Health Q&A,Topic
112,Lei Liang,Author
112,Mengshu Sun,Author
112,Zhengke Gui,Author
112,Zhongshu Zhu,Author
112,Zhouyu Jiang,Author
112,Ling Zhong,Author
112,Yuan Qu,Author
112,Peilong Zhao,Author
112,Zhongpu Bo,Author
112,Jin Yang,Author
112,Huaidong Xiong,Author
112,Lin Yuan,Author
112,Jun Xu,Author
112,Zaoyang Wang,Author
112,Zhiqiang Zhang,Author
112,Wen Zhang,Author
112,Huajun Chen,Author
112,Wenguang Chen,Author
112,Jun Zhou,Author
113,Adapting To Non-Stationary Environments: Multi-Armed Bandit Enhanced Retrieval-Augmented Generation On Knowledge Graphs,Paper
113,Xiaqiang Tang,Author
113,Jian Li,Author
113,Nan Du,Author
113,Sihong Xie,Author
113,Retrieval-Augmented Generation (Rag) Framework,Topic
113,Knowledge Graphs,Topic
113,Multi-Objective Multi-Armed Bandit,Topic
113,Non-Stationary Environments,Topic
113,Stationary Environments,Topic
113,Kgqa Datasets,Topic
114,Large Language Models,Topic
114,Graph Neural Networks,Topic
114,Retrieval-Augmented Generation,Topic
114,Jintang Li,Author
114,Ruofan Wu,Author
114,Yuchang Zhu,Author
114,Huizhe Zhang,Author
114,Liang Chen,Author
114,Zibin Zheng,Author
114,Are Large Language Models In-Context Graph Learners?,Paper
115,Research On Kgs And Llms,Topic
115,Knowledge Graphs,Topic
115,Large Language Models,Topic
115,Gpt-3.5 Turbo,Topic
115,Retrieval-Augmented Generation,Topic
115,Neo4J,Topic
115,Rahul Ravi,Author
115,Gouri Ginde,Author
115,Jon Rokne,Author
116,Learning To Retrieve And Reason On Knowledge Graph Through Active Self-Reflection,Paper
116,Active Self-Reflection Framework For Knowledge Graph Reasoning Arg,Topic
116,Large Language Models (Llms),Topic
116,Knowledge Graphs,Topic
116,Reasoning Process,Topic
116,Iterative Reasoning,Topic
116,Structured Graphs,Topic
116,Knowledge Retrieval,Topic
116,Reflective Critique,Topic
116,Reasoning Paths,Topic
116,Interpretability,Topic
116,Knowledge Graph Reasoning Tasks,Topic
117,Large Language Models,Topic
117,Knowledge-Intensive Tasks,Topic
117,Industrial Automation,Topic
117,Healthcare,Topic
117,Limitations,Topic
117,Knowledge Graphs,Topic
117,Graphrag,Topic
117,Tripartite-Graphrag,Topic
117,Michael Banf,Author
117,Johannes Kuhn,Author
117,Llm Prompt Creation,Topic
117,Markov Random Fields,Topic
117,Healthcare Use Case,Topic
117,Patient Anamneses,Topic
117,Clinical Literature,Topic
117,Information Density,Topic
117,Coverage,Topic
117,Arrangement Of Llm Prompts,Topic
117,Costs,Topic
117,Llm Outputs,Topic
118,Hykge,Topic
118,Large Language Models,Topic
118,Knowledge Graphs,Topic
118,Xinke Jiang,Author
118,Ruizhe Zhang,Author
118,Yongxin Xu,Author
118,Rihong Qiu,Author
118,Yue Fang,Author
118,Zhiyuan Wang,Author
118,Jinyi Tang,Author
118,Hongxin Ding,Author
118,Xu Chu,Author
118,Junfeng Zhao,Author
118,Yasha Wang,Author
119,Graph-Based Retrieval-Augmented Generation (Rag) Methods,Topic
119,Hirag,Topic
119,Haoyu Huang,Author
119,Yongfeng Huang,Author
119,Junjie Yang,Author
119,Zhenyu Pan,Author
119,Yongqiang Chen,Author
119,Kaili Ma,Author
119,Hongzhi Chen,Author
119,James Cheng,Author
119,Retrieval-Augmented Generation With Hierarchical Knowledge,Paper
120,Gem-Rag,Topic
120,Large Language Models,Topic
120,Retrieval Augmented Generation,Topic
120,Brendan Hogan Rappazzo,Author
120,Yingheng Wang,Author
120,Aaron Ferber,Author
120,Carla Gomes,Author
121,Large Language Models,Topic
121,Generative Artificial Intelligence,Topic
121,Graph Databases,Topic
121,Knowledge Graphs,Topic
121,Structured Query Language,Topic
121,Cypher,Topic
121,Openai Chatgpt 4O,Author
121,Claude Sonnet 3.5,Author
121,Google Gemini Pro 1.5,Author
121,Llama 3.1 8B,Author
121,Siraj Munir,Author
121,Alessandro Aldini,Author
121,Llm-Driven Query Generation,Topic
121,Few-Shot Learning Prompt,Topic
121,Retrieval Augmented Generation,Topic
121,Chain-Of-Thoughts Reasoning,Topic
121,Query Generation Accuracy,Topic
121,Future Research Directions,Topic
122,Multihop-Rag,Topic
122,Yixuan Tang,Author
122,Yi Yang,Author
122,Retrieval-Augmented Generation,Topic
123,Knowledge Graphs,Topic
123,Sparqllm,Topic
123,Industry 5.0,Topic
123,Marco Arazzi,Author
123,Davide Ligari,Author
123,Serena Nicolazzo,Author
123,Antonino Nocera,Author
124,Knowledge Graph Reasoning,Topic
124,Machine Learning Applications,Topic
124,Information Extraction,Topic
124,Information Retrieval,Topic
124,Recommendation,Topic
124,Symbolic Reasoning,Topic
124,Neural Reasoning,Topic
124,Hybrid Reasoning,Topic
124,Knowledge Graph Completion,Topic
124,Question Answering,Topic
124,Future Directions For Knowledge Graph Reasoning,Topic
124,Jing Zhang,Author
124,Bo Chen,Author
124,Lingxi Zhang,Author
124,Xirui Ke,Author
124,Haipeng Ding,Author
125,Large Language Models,Topic
125,Retrieval-Augmented Generation,Topic
125,Knowledge Graphs,Topic
125,Mindful-Rag,Topic
125,Garima Agrawal,Author
125,Tharindu Kumarage,Author
125,Zeyad Alghamdi,Author
125,Huan Liu,Author
126,Cyber Knowledge Completion Using Large Language Models,Paper
127,Large Language Models (Llms),Topic
127,Information Retrieval,Topic
127,Biomedical Research,Topic
127,Retrieval Augmented Generation (Rag),Topic
127,Knowledge Graph,Topic
127,Julien Delile,Author
127,Srayanta Mukherjee,Author
127,Anton Van Pamel,Author
127,Leonid Zhukov,Author
127,Hybrid Model,Topic
127,Information Overload Problem,Topic
127,Embedding Similarity,Topic
127,Biomedical Question-Answering Models,Topic
128,Coderag,Topic
128,Large Language Models,Topic
128,Jia Li,Author
128,Xianjie Shi,Author
128,Kechi Zhang,Author
128,Lei Li,Author
128,Ge Li,Author
128,Zhengwei Tao,Author
128,Fang Liu,Author
128,Chongyang Tao,Author
128,Zhi Jin,Author
128,Deveval,Topic
128,Copilit,Topic
128,Cursor,Topic
128,Qwq-32B,Topic
128,Ds-Code Graph,Topic
128,Requirement Graph,Topic
129,Large Language Models,Topic
129,Code-Llms,Topic
129,Retrieval-Augmented Generation,Topic
129,Programming Knowledge Graph,Topic
129,Iman Saberi,Author
129,Fatemeh Fard,Author
129,Humaneval,Topic
129,Mbpp,Topic
129,Fill-In-The-Middle Enhancer Module,Topic
130,Path Pooling: Train-Free Structure Enhancement For Efficient Knowledge Graph Retrieval-Augmented Generation,Paper
130,Large Language Models,Topic
130,Knowledge Graph-Based Retrieval-Augmented Generation,Topic
130,Path Pooling,Topic
130,Kg-Rag,Topic
130,Graph Representation Learning,Topic
131,Rgl,Topic
131,Graph Learning,Topic
131,Retrieval-Augmented Generation,Topic
131,Graph Database,Topic
131,Yuan Li,Author
131,Jun Hu,Author
131,Jiaxin Jiang,Author
131,Zemin Liu,Author
131,Bryan Hooi,Author
131,Bingsheng He,Author
132,Fidelis,Paper
132,Large Language Models,Topic
132,Knowledge Graphs,Topic
132,Step-Wise Beam Search,Topic
132,Path-Rag Module,Topic
132,Factuality,Topic
132,Interpretability,Topic
132,Benchmarks,Topic
132,Computational Costs,Topic
133,Large Language Models (Llms),Topic
133,Knowledge Graphs (Kgs),Topic
133,Graph-Constrained Reasoning (Gcr),Topic
133,Kg-Trie,Topic
133,Linhao Luo,Author
133,Zicheng Zhao,Author
133,Chen Gong,Author
133,Gholamreza Haffari,Author
133,Shirui Pan,Author
134,Context Canvas,Paper
134,Text-To-Image Models,Topic
134,Knowledge Graph,Topic
134,Graph-Based Rag,Topic
134,Flux,Topic
134,Stable Diffusion,Topic
134,Dall-E,Topic
134,Controlnet,Topic
135,Artrag,Topic
135,Shuai Wang,Author
135,Ivona Najdenkoska,Author
135,Hongyi Zhu,Author
135,Stevan Rudinac,Author
135,Monika Kackovic,Author
135,Nachoem Wijnberg,Author
135,Marcel Worring,Author
135,Art Context Knowledge Graph,Topic
135,Semart,Topic
135,Artpedia,Topic
136,A Comprehensive Evaluation Of Large Language Models On Temporal Event Forecasting,Paper
136,He Chang,Author
136,Chenchen Ye,Author
136,Zhulin Tao,Author
136,Jie Wu,Author
136,Zhengmao Yang,Author
136,Yunshan Ma,Author
136,Xianglin Huang,Author
136,Tatseng Chua,Author
136,Mideast-Te-Mini,Topic
137,Cotkr,Topic
137,Llms,Topic
137,Rag,Topic
137,Kgqa,Topic
137,Yike Wu,Author
137,Yi Huang,Author
137,Nan Hu,Author
137,Yuncheng Hua,Author
137,Guilin Qi,Author
137,Jiaoyan Chen,Author
137,Jeff Z Pan,Author
138,Large Language Models,Topic
138,Question-Answering,Topic
138,Retrieval-Augmented Generation,Topic
138,External Evidence,Topic
138,Web Pages,Topic
138,Databases,Topic
138,Knowledge Graphs,Topic
138,Er-Rag,Paper
139,Retrieval Augmented Generation (Rag),Topic
139,Sim-Rag,Topic
139,Diji Yang,Author
139,Linda Zeng,Author
139,Jinmeng Rao,Author
139,Yi Zhang,Author
139,Knowing You Don'T Know: Learning When To Continue Search In Multi-Round Rag Through Self-Practicing,Paper
140,Minirag,Topic
140,Tianyu Fan,Author
140,Jingyuan Wang,Author
140,Xubin Ren,Author
140,Chao Huang,Author
140,Https://Github.Com/Hkuds/Minirag,Paper
141,Srag,Topic
141,Multi-Entity Question Answering,Topic
141,Ieee Fellows Distribution,Topic
141,Teng Lin,Author
141,Yizhang Zhu,Author
141,Yuyu Luo,Author
141,Nan Tang,Author
142,Mcts-Rag,Topic
142,Yunhai Hu,Author
142,Yilun Zhao,Author
142,Chen Zhao,Author
142,Arman Cohan,Author
142,Gpt-4O,Topic
142,Complexwebqa,Topic
142,Gpqa,Topic
142,Foolmetwice,Topic
143,Retrieval-Augmented Generation (Rag),Topic
143,Lightrag,Paper
143,Large Language Models (Llms),Topic
143,Graph Structures,Topic
143,Dual-Level Retrieval System,Topic
143,Incremental Update Algorithm,Topic
143,Experimental Validation,Topic
144,Knowledge Graph Retrieval-Augmented Generation For Llm-Based Recommendation,Paper
144,Shijie Wang,Author
144,Wenqi Fan,Author
144,Yue Feng,Author
144,Xinyu Ma,Author
144,Shuaiqiang Wang,Author
144,Dawei Yin,Author
144,Recommender Systems,Topic
144,Large Language Models,Topic
144,Retrieval-Augmented Generation,Topic
144,Knowledge Graph,Topic
144,K-Ragrec,Topic
145,Discuss-Rag,Topic
145,Medical Question Answering,Topic
145,Medrag,Topic
145,Bioasq,Topic
145,Pubmedqa,Topic
145,Xuanzhao Dong,Author
145,Wenhui Zhu,Author
145,Hao Wang,Author
145,Xiwen Chen,Author
145,Peijie Qiu,Author
145,Rui Yin,Author
145,Yi Su,Author
145,Yalin Wang,Author
145,Https://Github.Com/Llm-Vlm-Gsl/Discuss-Rag,Paper
146,Cg-Rag,Topic
146,Yuntong Hu,Author
146,Zhihan Lei,Author
146,Zhongjie Dai,Author
146,Allen Zhang,Author
146,Abhinav Angirekula,Author
146,Zheng Zhang,Author
146,Liang Zhao,Author
146,Research Question Answering,Topic
146,Retrieval-Augmented Generation,Topic
146,Lexical-Semantic Graph Retrieval,Topic
146,Large Language Models,Topic
147,Exploring The Role Of Knowledge Graph-Based Rag In Japanese Medical Question Answering With Small-Scale Llms,Paper
147,Yingjian Chen,Author
147,Feiyang Li,Author
147,Xingyu Song,Author
147,Tianxiao Li,Author
147,Zixin Xu,Author
147,Xiujie Chen,Author
147,Issey Sukeda,Author
147,Irene Li,Author
147,Japanese Medical Qa,Topic
147,Retrieval-Augmented Generation,Topic
147,Knowledge Graph,Topic
147,Open-Source Llms,Topic
147,Small-Scale Llms,Topic
148,Graph-Augmented Reasoning: Evolving Step-By-Step Knowledge Graph Retrieval For Llm Reasoning,Paper
148,Kg-Rar,Topic
148,Math500,Topic
148,Gsm8K,Topic
149,Videorag,Topic
149,Retrieval-Augmented Generation,Topic
149,Large Language Models,Topic
149,Longervideos,Topic
149,Xubin Ren,Author
149,Lingrui Xu,Author
149,Long Xia,Author
149,Shuaiqiang Wang,Author
149,Dawei Yin,Author
149,Chao Huang,Author
149,Https://Github.Com/Hkuds/Videorag,Paper
150,Vendi-Rag,Topic
150,Retrieval-Augmented Generation,Topic
150,Mohammad Reza Rezaei,Author
150,Adji Bousso Dieng,Author
150,Hotpotqa,Topic
150,Musique,Topic
150,2Wikimultihopqa,Topic
150,Adaptive-Rag,Topic
150,Gpt-3.5,Topic
150,Gpt-4,Topic
150,Gpt-4O-Mini,Topic
151,Auto-Rag,Topic
151,Retrieval-Augmented Generation,Topic
151,Tian Yu,Author
151,Shaolei Zhang,Author
151,Yang Feng,Author
151,Large Language Models,Topic
151,Iterative Retrieval,Topic
151,Multi-Turn Dialogues,Topic
151,Open-Source Llms,Topic
151,Six Benchmarks,Topic
151,Natural Language,Topic
151,Https://Github.Com/Ictnlp/Auto-Rag,Paper
152,Large Language Models,Topic
152,Natural Language Processing,Topic
152,Telecommunications,Topic
152,Knowledge Graph,Topic
152,Retrieval-Augmented Generation,Topic
152,Kg-Rag Framework,Topic
152,Dun Yuan,Author
152,Hao Zhou,Author
152,Di Wu,Author
152,Xue Liu,Author
152,Hao Chen,Author
152,Yan Xin,Author
152,Jianzhong,Author
152,Zhang,Author
153,Integrating Large Language Models (Llms) In Intelligent Tutoring Systems (Its),Topic
153,Knowledge Graph-Enhanced Retrieval-Augmented Generation (Kg-Rag),Topic
153,Chenxi Dong,Author
153,Yimin Yuan,Author
153,Kan Chen,Author
153,Shupei Cheng,Author
153,Chujie Wen,Author
153,Transformative Opportunities For Personalized Education,Topic
153,Factual Accuracy,Topic
153,"Coherent, Context-Aware Instruction",Topic
153,Retrieval-Augmented Generation (Rag),Topic
153,Structured Knowledge Representation,Topic
153,Context-Aware Retrieval,Topic
153,Empirical Validation Through Controlled Experiments,Topic
153,Significant Learning Improvements,Topic
153,Comprehensive Implementation Framework,Topic
153,Adaptable Ai Tutoring Systems,Topic
153,Educational Contexts,Topic
154,Dynagrag,Topic
154,Graph Retrieval-Augmented Generation,Topic
154,Karishma Thakrar,Author
154,Dynamic Graph Retrieval-Augmented Generation,Topic
154,Graph Convolutional Networks,Topic
154,Large Language Models,Topic
154,Dynamic Similarity-Aware Bfs,Topic
154,Subgraph Representation,Topic
154,Semantic Information,Topic
154,Knowledge Graph,Topic
154,Language Understanding,Topic
154,Language Generation,Topic
154,Embedding,Topic
154,De-Duplication Processes,Topic
154,Mean Pooling,Topic
154,Query-Aware Retrieval,Topic
154,Node And Edge Representations,Topic
154,Hierarchical Subgraph Structure,Topic
154,Experimental Results,Topic
154,Graph Density,Topic
154,Entity And Relation Information,Topic
154,Relevant And Diverse Subgraphs,Topic
155,Rag-Based Explainable Prediction Of Road Users Behaviors For Automated Driving Using Knowledge Graphs And Large Language Models,Paper
155,Mohamed Manzour Hussien,Author
155,Angie Nataly Melo,Author
155,Augusto Luis Ballardini,Author
155,Carlota Salinas Maldonado,Author
155,Rubn Izquierdo,Author
155,Miguel Ngel Sotelo,Author
155,Autonomous Driving,Topic
155,Road Users' Behavior Prediction,Topic
155,Knowledge Graphs,Topic
155,Large Language Models,Topic
155,Retrieval Augmented Generation,Topic
155,Knowledge Graph Embeddings,Topic
155,Bayesian Inference,Topic
155,Pedestrians' Crossing Actions,Topic
155,Lane Change Maneuvers,Topic
156,Adobe Experience Platform Ai Assistant,Topic
156,Retrieval-Augmented Generation (Rag) Framework,Topic
156,Knowledge Graph (Kg),Topic
156,Manisha Mukherjee,Author
156,Sungchul Kim,Author
156,Xiang Chen,Author
156,Dan Luo,Author
156,Tong Yu,Author
156,Tung Mai,Author
156,"High-Quality, Low-Noise Kg",Topic
156,Incremental Entity Resolution,Topic
156,Similarity-Based Filtering,Topic
156,Confidence Scores,Topic
156,Source Documents,Topic
156,Response Relevance,Topic
156,Existing Production System,Topic
156,From Documents To Dialogue: Building Kg-Rag Enhanced Ai Assistants,Paper
157,Graph-Hop,Topic
157,Reasongraphqa,Topic
157,Bidirectional Graph Retrieval (Bgr),Topic
157,Minjun Zhu,Author
157,Yixuan Weng,Author
157,Shizhu He,Author
157,Kang Liu,Author
157,Jun Zhao,Author
157,Textual Question Answering (Tqa) Systems,Topic
157,Evidence Graphs,Topic
157,Reasoning Diversity,Topic
157,Knowledge Reasoning,Topic
157,Complex Questions,Topic
158,Worse Than Zero-Shot? A Fact-Checking Dataset For Evaluating The Robustness Of Rag Against Misleading Retrievals,Paper
158,Raguard,Topic
158,Retrieval-Augmented Generation (Rag),Topic
158,Large Language Models (Llms),Topic
159,From Rag To Memory: Non-Parametric Continual Learning For Large Language Models,Paper
159,Hipporag 2,Topic
159,Retrieval-Augmented Generation (Rag),Topic
159,Personalized Pagerank Algorithm,Topic
160,Streamingrag,Topic
160,Multi-Modal Large Language Models,Topic
160,Retrieval-Augmented Generation,Topic
160,Murugan Sankaradas,Author
160,Ravi K Rajendran,Author
160,Srimat T Chakradhar,Author
160,Healthcare,Topic
160,Intelligent Transportation,Topic
160,Satellite Remote Sensing,Topic
160,Real-Time Analysis,Topic
160,Knowledge Graph,Topic
160,Scene-Object-Entity Relationships,Topic
160,Temporal Knowledge Graph,Topic
161,Zep,Topic
161,Memgpt,Topic
161,Deep Memory Retrieval (Dmr),Topic
161,Graphiti,Topic
161,Preston Rasmussen,Author
161,Pavlo Paliychuk,Author
161,Travis Beauvais,Author
161,Jack Ryan,Author
161,Daniel Chalef,Author
162,Meta Kdd Cup 24,Topic
162,Db3 Team,Author
162,Rag System,Topic
162,Crag Challenge,Topic
162,Task #1,Topic
162,Task #2,Topic
162,Task #3,Topic
162,Yikuan Xia,Author
162,Jiazun Chen,Author
162,Jun Gao,Author
163,Graph Of Records,Topic
163,Haozhen Zhang,Author
163,Tao Feng,Author
163,Jiaxuan You,Author
163,Retrieval-Augmented Generation,Topic
163,Large Language Models,Topic
163,Bertscore,Topic
163,Wcep Dataset,Topic
164,Graph Chain-Of-Thought: Augmenting Large Language Models By Reasoning On Graphs,Paper
164,Grbench,Topic
164,Large Language Models,Topic
165,Rag-Star,Topic
165,Llama-3.1-8B-Instruct,Topic
165,Gpt-4O,Topic
165,Jinhao Jiang,Author
165,Jiayi Chen,Author
165,Junyi Li,Author
165,Ruiyang Ren,Author
165,Shijie Wang,Author
165,Wayne Xin Zhao,Author
165,Yang Song,Author
165,Tao Zhang,Author
166,Knowledge Graphs,Topic
166,Retrieval Augmented Generation,Topic
166,Graph Neural Networks,Topic
166,Md Shahir Zaoad,Author
166,Niamat Zawad,Author
166,Priyanka Ranade,Author
166,Richard Krogman,Author
166,Latifur Khan,Author
166,James Holt,Author
166,"Graph-Based Re-Ranking: Emerging Techniques, Limitations, And Opportunities",Paper
167,Agentic Generative Ai,Topic
167,Large Language Models,Topic
167,Retrieval-Augmented Generation,Topic
167,Knowledge Graphs,Topic
167,Vector Stores,Topic
167,Legal Systems,Topic
167,Research,Topic
167,Recommender Systems,Topic
167,Cybersecurity,Topic
167,Global Security,Topic
167,Proliferation Research,Topic
167,Legal Domain,Topic
167,Complex Data,Topic
167,Legal Documents,Topic
167,Generative Ai System,Topic
167,Non-Negative Matrix Factorization,Topic
167,Ai Agents,Topic
167,Legal Texts,Topic
167,Justia,Topic
167,Ryan C Barron,Author
167,Maksim E Eren,Author
167,Olga M Serafimova,Author
167,Cynthia Matuszek,Author
167,Boian S Alexandrov,Author
168,A Multi-Source Retrieval Question Answering Framework Based On Rag,Paper
168,Retrieval-Augmented Generation,Topic
168,Gpt-3.5,Topic
168,Msrag,Topic
168,Qa Systems,Topic
169,Sketch,Topic
169,Retrieval-Augmented Generation,Topic
169,Aakash Mahalingam,Author
169,Vinesh Kumar Gande,Author
169,Aman Chadha,Author
169,Vinija Jain,Author
169,Divya Chaudhary,Author
169,Quality,Topic
169,Qasper,Topic
169,Narrativeqa,Topic
169,Italian Cuisine,Topic
169,Ragas Metrics,Topic
170,Driving-Rag,Paper
170,Driving Scenario Data,Topic
170,Rag Systems,Topic
170,Llms,Topic
170,Scenario Data Search,Topic
170,Embedding Model,Topic
170,Scenario Vector Search,Topic
170,Graph Knowledge,Topic
170,Trajectory Planning Task,Topic
171,Mix-Of-Granularity,Topic
171,Retrieval-Augmented Generation,Topic
171,Mog,Topic
171,Mog-Graph,Topic
171,Router,Topic
171,Loss Function,Topic
171,Graphs,Topic
171,Rag System,Topic
171,Experiments,Topic
171,Code,Topic
